DateTime,Temperature_C,Humidity_Percent,Feels_Like_C,Pressure_hPa,Wind_Speed_kmh
2026-08-16 00:00:00,28.7,89,35.5,977.7,7.6
2026-08-16 01:00:00,28.6,89,35.3,977.2,7.0
2026-08-16 02:00:00,28.4,88,35.1,976.8,5.5
2026-08-16 03:00:00,26.2,94,32.4,976.6,4.0
2026-08-16 04:00:00,26.4,95,32.3,976.5,7.9
2026-08-16 05:00:00,27.9,87,33.4,976.3,10.4
2026-08-16 06:00:00,27.9,85,33.5,977.1,8.8
2026-08-16 07:00:00,28.3,84,33.9,977.5,8.6
2026-08-16 08:00:00,29.4,79,35.2,977.8,8.3
2026-08-16 09:00:00,30.5,74,36.1,977.9,8.6
2026-08-16 10:00:00,31.9,69,37.9,977.9,8.2
2026-08-16 11:00:00,32.8,64,39.2,977.8,8.4
2026-08-16 12:00:00,33.1,64,40.1,977.3,7.5
2026-08-16 13:00:00,33.3,64,40.2,977.2,6.4
2026-08-16 14:00:00,33.1,65,39.4,976.3,7.7
2026-08-16 15:00:00,33.3,64,39.1,975.5,9.0
2026-08-16 16:00:00,33.1,64,38.8,975.2,9.4
2026-08-16 17:00:00,32.6,70,39.3,975.3,6.3
2026-08-16 18:00:00,29.6,82,36.1,975.7,7.5
2026-08-16 19:00:00,27.7,89,33.8,976.4,7.5
2026-08-16 20:00:00,27.5,91,33.9,977.7,6.7
2026-08-16 21:00:00,27.0,94,33.5,978.4,6.1
2026-08-16 22:00:00,27.1,91,33.7,978.3,3.4
2026-08-16 23:00:00,27.0,92,33.6,978.2,3.1
2026-08-17 00:00:00,27.0,92,33.4,978.0,4.6
2026-08-17 01:00:00,27.1,92,33.6,977.3,4.2
2026-08-17 02:00:00,27.1,91,33.1,976.8,6.8
2026-08-17 03:00:00,26.3,93,31.7,977.2,9.1
2026-08-17 04:00:00,25.5,96,31.0,977.5,8.2
2026-08-17 05:00:00,25.5,96,31.7,976.9,2.8
2026-08-17 06:00:00,25.9,96,32.2,977.6,3.2
2026-08-17 07:00:00,27.3,92,34.0,978.4,3.5
2026-08-17 08:00:00,29.0,81,34.8,978.9,7.4
2026-08-17 09:00:00,30.1,73,35.2,979.3,9.8
2026-08-17 10:00:00,31.1,69,37.0,979.1,8.6
2026-08-17 11:00:00,32.0,65,38.8,978.9,8.0
2026-08-17 12:00:00,32.6,66,40.1,978.3,7.0
2026-08-17 13:00:00,32.9,66,40.6,977.4,6.9
2026-08-17 14:00:00,33.1,64,40.2,976.5,6.1
2026-08-17 15:00:00,33.0,66,39.5,975.8,7.0
2026-08-17 16:00:00,32.7,66,38.5,975.5,8.0
2026-08-17 17:00:00,32.4,67,38.3,975.0,7.6
2026-08-17 18:00:00,31.5,76,39.0,975.6,2.1
2026-08-17 19:00:00,30.7,81,38.5,976.8,1.5
2026-08-17 20:00:00,27.4,88,32.1,978.4,15.0
2026-08-17 21:00:00,26.3,91,32.3,978.5,4.0
2026-08-17 22:00:00,26.2,93,31.9,978.7,7.2
2026-08-17 23:00:00,25.8,92,31.1,978.6,7.5
2026-08-18 00:00:00,25.1,96,29.2,979.4,15.0
2026-08-18 01:00:00,25.3,96,30.8,978.4,6.6
2026-08-18 02:00:00,25.1,96,30.5,978.1,6.9
2026-08-18 03:00:00,25.0,95,30.5,977.9,4.8
2026-08-18 04:00:00,25.1,93,30.4,978.0,4.8
2026-08-18 05:00:00,25.1,93,30.8,978.4,2.3
2026-08-18 06:00:00,25.3,93,31.0,979.0,3.6
2026-08-18 07:00:00,26.1,92,32.0,979.9,3.8
2026-08-18 08:00:00,27.3,88,33.6,980.4,2.6
2026-08-18 09:00:00,28.9,80,35.3,980.9,2.2
2026-08-18 10:00:00,30.0,73,36.3,980.9,1.6
2026-08-18 11:00:00,30.9,71,38.3,980.4,2.6
2026-08-18 12:00:00,31.8,67,39.4,979.4,3.3
2026-08-18 13:00:00,32.0,68,39.6,978.4,4.8
2026-08-18 14:00:00,32.4,66,39.2,977.4,5.2
2026-08-18 15:00:00,32.5,66,38.7,976.6,5.3
2026-08-18 16:00:00,31.9,68,38.1,976.1,4.4
2026-08-18 17:00:00,30.3,72,36.0,976.0,5.9
2026-08-18 18:00:00,28.8,81,34.2,976.8,10.1
2026-08-18 19:00:00,27.5,88,34.0,977.5,2.5
2026-08-18 20:00:00,27.2,89,33.4,978.8,4.1
2026-08-18 21:00:00,26.7,91,32.6,979.7,5.9
2026-08-18 22:00:00,26.5,93,33.1,979.3,2.4
2026-08-18 23:00:00,26.3,94,32.4,979.3,5.1
2026-08-19 00:00:00,26.3,94,32.6,978.8,3.4
2026-08-19 01:00:00,26.2,95,32.8,978.5,2.3
2026-08-19 02:00:00,26.0,96,32.3,978.3,4.8
2026-08-19 03:00:00,26.0,97,32.9,977.7,0.2
2026-08-19 04:00:00,25.9,98,32.5,977.7,2.7
2026-08-19 05:00:00,25.9,98,32.5,978.0,2.7
2026-08-19 06:00:00,26.0,98,32.9,978.8,1.0
2026-08-19 07:00:00,26.7,94,33.2,979.8,4.1
2026-08-19 08:00:00,27.8,86,33.7,980.3,6.9
2026-08-19 09:00:00,29.2,76,34.5,980.6,7.2
2026-08-19 10:00:00,30.3,71,36.6,980.6,5.6
2026-08-19 11:00:00,31.2,69,38.5,980.4,4.2
2026-08-19 12:00:00,32.1,67,40.4,979.7,2.3
2026-08-19 13:00:00,32.6,66,41.1,978.6,1.9
2026-08-19 14:00:00,32.7,66,40.7,977.5,2.7
2026-08-19 15:00:00,32.7,66,39.3,976.7,4.5
2026-08-19 16:00:00,32.4,67,38.7,976.3,4.6
2026-08-19 17:00:00,29.7,83,36.1,976.2,8.7
2026-08-19 18:00:00,28.7,88,35.7,977.2,5.2
2026-08-19 19:00:00,27.6,92,34.6,978.2,2.8
2026-08-19 20:00:00,27.4,95,35.1,978.7,0.4
2026-08-19 21:00:00,27.5,95,35.2,979.5,0.9
2026-08-19 22:00:00,27.4,95,35.0,979.3,1.3
2026-08-19 23:00:00,27.4,95,34.9,979.2,1.1
2026-08-20 00:00:00,27.3,96,34.8,979.0,1.8
2026-08-20 01:00:00,27.1,96,34.4,978.5,2.0
2026-08-20 02:00:00,26.4,95,32.7,977.9,5.0
2026-08-20 03:00:00,26.2,98,33.1,977.2,2.3
2026-08-20 04:00:00,26.2,98,33.4,977.8,0.7
2026-08-20 05:00:00,25.9,99,32.8,978.4,2.3
2026-08-20 06:00:00,26.2,98,33.1,979.0,2.3
2026-08-20 07:00:00,26.7,95,33.6,979.6,2.7
2026-08-20 08:00:00,27.4,91,34.3,979.9,2.9
2026-08-20 09:00:00,28.4,86,35.3,980.0,3.1
2026-08-20 10:00:00,29.6,81,36.3,979.9,3.8
2026-08-20 11:00:00,30.6,77,37.9,979.6,4.0
2026-08-20 12:00:00,31.3,74,39.4,978.9,2.8
2026-08-20 13:00:00,31.9,72,40.3,977.7,2.0
2026-08-20 14:00:00,32.1,72,40.1,976.9,2.3
2026-08-20 15:00:00,31.5,74,39.1,976.0,1.8
2026-08-20 16:00:00,30.6,79,37.9,975.4,2.5
2026-08-20 17:00:00,29.7,84,37.0,975.2,3.3
2026-08-20 18:00:00,29.1,87,36.6,975.8,2.5
2026-08-20 19:00:00,28.6,91,36.4,976.8,1.3
2026-08-20 20:00:00,28.2,93,36.1,977.6,1.0
2026-08-20 21:00:00,27.9,95,35.8,978.1,1.5
2026-08-20 22:00:00,27.8,96,35.6,978.3,2.5
2026-08-20 23:00:00,27.7,97,35.3,978.3,3.3
2026-08-21 00:00:00,27.4,97,35.0,977.9,3.2
2026-08-21 01:00:00,27.1,98,34.6,977.3,2.9
2026-08-21 02:00:00,26.8,98,34.0,976.9,2.7
2026-08-21 03:00:00,26.4,98,33.4,976.7,2.8
2026-08-21 04:00:00,25.9,98,32.6,976.7,2.9
2026-08-21 05:00:00,25.6,97,32.0,977.0,2.5
2026-08-21 06:00:00,25.3,97,31.6,977.7,2.2
2026-08-21 07:00:00,25.2,97,30.8,978.9,5.9
2026-08-21 08:00:00,25.4,96,30.8,979.6,7.7
2026-08-21 09:00:00,26.4,91,32.2,979.7,5.0
2026-08-21 10:00:00,27.8,84,34.3,979.6,0.3
2026-08-21 11:00:00,29.0,79,35.2,979.2,3.3
2026-08-21 12:00:00,30.0,75,36.4,978.5,3.0
2026-08-21 13:00:00,30.8,73,37.9,977.7,1.8
2026-08-21 14:00:00,31.5,71,38.6,976.7,1.9
2026-08-21 15:00:00,32.0,67,38.9,975.8,1.3
2026-08-21 16:00:00,32.2,64,38.6,974.8,0.4
2026-08-21 17:00:00,31.9,65,38.1,974.4,1.0
2026-08-21 18:00:00,30.6,71,36.9,974.9,2.2
2026-08-21 19:00:00,28.8,83,35.3,975.9,3.6
2026-08-21 20:00:00,27.4,92,34.1,976.7,4.8
2026-08-21 21:00:00,27.1,95,33.8,977.1,5.0
2026-08-21 22:00:00,27.2,94,33.9,977.2,5.0
2026-08-21 23:00:00,27.2,93,34.0,977.3,4.5
2026-08-22 00:00:00,27.1,93,33.7,977.3,4.5
2026-08-22 01:00:00,26.8,93,33.2,977.0,5.2
2026-08-22 02:00:00,26.6,94,32.8,976.9,6.1
2026-08-22 03:00:00,26.4,95,32.5,976.8,5.8
2026-08-22 04:00:00,26.1,97,32.4,976.8,5.2
2026-08-22 05:00:00,26.1,97,32.4,977.0,4.9
2026-08-22 06:00:00,26.4,95,32.6,977.6,4.9
2026-08-22 07:00:00,26.9,91,33.0,978.3,5.2
2026-08-22 08:00:00,27.2,89,33.3,978.9,4.6
2026-08-22 09:00:00,27.2,89,33.6,979.2,2.2
2026-08-22 10:00:00,27.0,90,33.4,979.3,2.4
2026-08-22 11:00:00,26.8,90,32.9,979.4,4.9
2026-08-22 12:00:00,29.6,81,36.7,978.4,5.8
2026-08-22 13:00:00,30.1,79,37.3,977.6,5.2
2026-08-22 14:00:00,30.5,76,37.5,976.5,4.6
2026-08-22 15:00:00,30.7,75,37.3,975.4,4.0
2026-08-22 16:00:00,30.9,74,37.5,974.5,3.7
2026-08-22 17:00:00,30.8,74,37.4,974.1,3.6
2026-08-22 18:00:00,30.4,76,37.0,974.3,3.2
2026-08-22 19:00:00,29.7,78,36.3,974.8,2.7
2026-08-22 20:00:00,28.8,82,35.4,975.6,2.5
2026-08-22 21:00:00,27.9,86,34.4,976.6,2.8
2026-08-22 22:00:00,27.1,90,33.5,977.3,3.2
