Date,Product,Category,Region,Quantity,Unit_Price
2026-08-01,Laptop,Electronics,North,5,55000
2026-08-02,Mouse,Electronics,South,20,800
2026-08-03,Keyboard,Electronics,East,15,1500
2026-08-04,Monitor,Electronics,West,8,12000
2026-08-05,Laptop,Electronics,South,3,55000
2026-08-06,Mouse,Electronics,North,25,800
2026-08-07,Keyboard,Electronics,West,12,1500
2026-08-08,Monitor,Electronics,East,6,12000
2026-08-09,Laptop,Electronics,East,4,55000
2026-08-10,Mouse,Electronics,West,18,800
2026-08-11,Keyboard,Electronics,South,20,1500
2026-08-12,Monitor,Electronics,North,7,12000
2026-08-13,Laptop,Electronics,West,2,55000
2026-08-14,Mouse,Electronics,East,30,800
2026-08-15,Keyboard,Electronics,North,10,1500
